合,41
部,36
彼,648
内,44
実,68
当,91
戦,78
性,104
対,34
関,70
感,233
定,48
政,17
取,122
所,221
現,85
最,82
化,89
民,28
相,45
法,100
全,75
情,235
向,182
平,128
成,116
経,79
信,208
面,186
連,30
原,172
顔,676
機,127
次,222
数,148
美,462
回,50
表,77
声,388
報,167
要,106
変,238
神,347
記,149
和,124
引,218
治,109
決,71
太,552
込,675
受,136
解,176
市,42
期,117
様,493
活,171
頭,433
組,204
指,155
説,326
能,273
葉,414
流,280
然,401
初,152
在,211
調,87
笑,913
議,25
直,246
夫,335
選,57
権,156
利,203
制,108
続,141
石,342
進,142
伝,416
加,130
助,397
点,165
産,161
務,111
件,212
命,465
番,348
落,420
付,322
得,175
好,423
違,344
殺,581
置,277
返,685
論,227
際,183
歳,269
反,191
形,418
光,527
首,98
勝,185
必,265
係,232
由,325
愛,640
都,123
放,288
確,252
過,285
約,94
馬,639
状,298
想,381
官,230
交,178
米,61
配,359
若,458
資,179
常,293
果,258
呼,498
共,174
残,380
判,197
役,315
他,543
術,350
支,159
両,247
乗,377
済,168
供,313
格,281
打,239
御,1087
断,338
式,251
師,563
告,188
深,484
存,577
争,271
覚,710
側,216
飛,619
参,201
突,521
容,264
育,369
構,316
認,198
位,276
達,500
守,457
満,515
消,345
任,217
居,836
予,180
路,529
座,588
客,557
船,713
追,411
背,696
観,476
誰,1933
息,882
失,447
老,803
良,501
示,237
号,585
職,305
王,684
識,496
警,366
優,334
投,236
局,286
難,330
種,461
念,390
寄,673
商,413
害,358
頼,708
横,480
増,231
差,449
苦,623
収,337
段,479
俺,1946
渡,446
与,308
演,267
備,356
申,492
例,399
働,417
景,419
抜,726
遠,887
絶,784
負,443
福,467
球,302
酒,1006
君,947
察,477
望,470
婚,767
単,586
押,789
割,318
限,405
戻,890
科,531
求,220
談,272
降,596
妻,691
岡,463
熱,700
浮,776
等,798
末,456
幸,786
草,967
越,897
登,566
類,678
未,650
規,349
精,752
抱,871
労,398
処,547
退,424
費,321
非,472
喜,769
娘,1145
逃,931
探,930
犯,874
薬,702
園,628
疑,283
緒,952
静,764
具,629
席,370
速,576
舞,655
宿,701
程,514
倒,791
寝,1034
宅,357
絵,895
破,590
庭,816
婦,671
余,680
訪,372
冷,667
暮,978
腹,1286
危,606
許,720
似,923
険,707
財,494
遊,941
雑,839
恐,878
値,518
暗,1040
積,541
夢,943
痛,903
富,644
刻,866
鳴,1279
欲,902
途,717
曲,810
耳,1328
完,595
願,894
罪,732
陽,1071
亡,661
散,758
掛,1027
昨,226
怒,1221
留,731
礼,1185
列,927
雪,1131
払,813
給,615
敗,516
捕,604
忘,1129
晴,1022
因,636
折,962
迎,625
悲,1014
港,495
責,598
除,594
困,843
閉,951
吸,1054
髪,1474
束,918
眠,1315
易,571
窓,1186
祖,1226
勤,830
昔,1197
便,729
適,670
吹,1133
候,510
怖,1325
辞,633
否,561
遅,833
煙,1290
徒,817
欠,860
迷,942
洗,1168
互,914
才,1497
更,861
歯,1106
盗,1051
慣,1177
晩,1424
箱,1357
到,1032
頂,1350
杯,1235
皆,1267
招,840
寒,1456
恥,1575
疲,1263
貧,1211
猫,1702
誤,1150
努,749
幾,1725
賛,868
偶,1602
忙,1475
泳,1223
靴,1561
偉,1639
