愛,あい,まな
挨拶,あいさつ
愛情,あいじょう
合図,あいず
愛する,あいする
相手,あいて
明かり,あかり
空き,あき
明らか,あきらか
諦める,あきらめる
飽きる,あきる
握手,あくしゅ
悪魔,あくま
明ける,あける
預ける,あずける
汗,あせ,かん
与える,あたえる
暖かい,あたたかい,あったかい,あったけー
辺り,あたり,ほとり,わたり
当たる,あたる
扱う,あつかう
集まり,あつまり
当てる,あてる
跡,あと,せき
穴,あな,けつ,ケツ,めど,みぞ,はりめど
浴びる,あびる
油,あぶら
余り,あまり,あんまり
誤り,あやまり
粗,ほぼ,あら,アラ,そ
嵐,あらし,アラシ
新た,あらた
表す,あらわす,ひょうす
現す,あらわす
現れ,あらわれ
現れる,あらわれる
有る,ある
或,ある
泡,あわ,あぶく
合わせる,あわせる
哀れ,あわれ,あはれ
案,あん,つくえ,つき
暗記,あんき
安定,あんてい
案内,あんない,あない
胃,い
委員,いいん
言う,いう,ゆう
意外,いがい
行き,いき,ゆき
息,いき,むすこ,ムスコ,そく
勢い,いきおい,いきよい
生き物,いきもの
幾つ,いくつ
幾ら,いくら
医師,いし,くすし,くすりし
意思,いし
意志,いし
維持,いじ
意識,いしき
異常,いじょう
椅子,いす,イス,いし
泉,いずみ
以前,いぜん
板,いた
偉大,いだい
抱く,いだく,だく,うだく
頂く,いただく
痛み,いたみ
至る,いたる
位置,いち
一時,ひととき,いっとき,いちじ
一度に,いちどに
市場,いちば,しじょう
一番,いちばん,ひとつがい
一家,いっか,いっけ
一種,いっしゅ
一瞬,いっしゅん
一生,いっしょう
一層,いっそう
一体,いったい
一致,いっち
一般,いっぱん
一方,いっぽう,ひとかた
移動,いどう
従兄弟,いとこ,じゅうけいてい
稲,いね,イネ
居眠り,いねむり
命,いのち,めい,みこと
違反,いはん,いへん
衣服,いふく
居間,いま
今に,いまに
今にも,いまにも
否,ひ,いや,いな
以来,いらい
依頼,いらい
医療,いりょう
岩,いわ
祝い,いわい,ゆわい
祝う,いわう
言わば,いわば
印刷,いんさつ
印象,いんしょう
引退,いんたい
引用,いんよう
上,うえ,うわ,かみ,じょう
魚,さかな,うお
伺う,うかがう
受け取る,うけとる
動かす,うごかす
兎,うさぎ,う,ウサギ
牛,うし,ぎゅう,ウシ,ぎふ
失う,うしなう
後,あと,のち,うしろ,しり,ご,しりえ
嘘,うそ,ウソ
疑う,うたがう
