間,あいだ,あわい,ま,はざま,はさま,ハザマ,かん,けん
合う,あう,おう
上る,あがる,アガる,のぼる
赤ん坊,あかんぼう,あかんぼ
空く,すく,あく
浅い,あさい
味,あじ,み
明日,あした,あす,みょうにち
遊び,あそび,すさび
集る,あつまる,たかる
集める,あつめる
謝る,あやまる
安心,あんしん,あんじん
安全,あんぜん,あんせん
案内,あんない,あない
以下,いか,いげ
以外,いがい
医学,いがく
生きる,いきる
意見,いけん
石,いし,こく,せき
以上,いじょう
急ぐ,いそぐ
致す,いたす
一度,いちど,ひとたび
一生懸命,いっしょうけんめい
糸,いと,し
以内,いない
田舎,いなか,でんしゃ,でんじゃ
祈る,いのる
植える,うえる
受付,うけつけ
受ける,うける,ウケる
動く,うごく
打つ,うつ,ぶつ
美しい,うつくしい
写す,うつす
移る,うつる
腕,うで,かいな
裏,うち,うら,り
売り場,うりば
運転,うんてん
運転手,うんてんしゅ
運動,うんどう
枝,えだ,し
選ぶ,えらぶ
遠慮,えんりょ
お祝い,おいわい
億,おく
屋上,おくじょう
贈り物,おくりもの
送る,おくる
遅れる,おくれる
起す,おこす
行う,おこなう
怒る,おこる,いかる
押し入れ,おしいれ
お嬢さん,おじょうさん
お宅,おたく
落る,おちる
夫,おっと,お,そ,つま
音,おと,おん,ね
落す,おとす
踊り,おどり
踊る,おどる
驚く,おどろく
お祭り,おまつり
お見舞い,おみまい
お土産,おみやげ,おみあげ
思い出す,おもいだす
思う,おもう
表,おもて,ひょう
親,おや,しん
下りる,おりる
折る,おる
お礼,おれい,おんれい
折れる,おれる
終わり,おわり
海岸,かいがん
会議,かいぎ
会議室,かいぎしつ
会場,かいじょう
会話,かいわ
帰り,かえり
変える,かえる
科学,かがく
鏡,かがみ
掛ける,かける
飾る,かざる
火事,かじ
堅,けん
硬,こう
固い,かたい
形,かたち,かた,がた,なり,けい
片付ける,かたづける
課長,かちょう
勝つ,かつ
家内,かない,やうち
悲しい,かなしい
必ず,かならず
金持ち,かねもち
彼女,かのじょ
壁,かべ,へき
髪,かみ,はつ
噛む,かむ,しがむ
通う,かよう
彼,あれ,アレ,かれ,かの
彼ら,かれら,あれら
乾く,かわく
代わり,かわり,がわり
変わる,かわる
考える,かんがえる
関係,かんけい
看護婦,かんごふ
簡単,かんたん
気,き,げ,ぎ,け
機会,きかい
危険,きけん
聞こえる,きこえる
汽車,きしゃ
技術,ぎじゅつ
季節,きせつ
規則,きそく
絹,きぬ
厳しい,きびしい,いかめしい
気分,きぶん
決る,きまる,キマる,しゃくる,さくる
君,きみ,キミ,くん,ぎみ,きんじ
決める,きめる,キメる
気持ち,きもち
着物,きもの,きるもの
客,きゃく,かく,まろうど,まろうと,まれびと,マレビト
急,きゅう
急行,きゅうこう
教育,きょういく
教会,きょうかい
競争,きょうそう
興味,きょうみ
近所,きんじょ
具合,ぐあい,ぐわい
空気,くうき
空港,くうこう
草,くさ,そう
首,くび,クビ,しゅきゅう,しるし,しゅ,つかさ,おびと,おうと,このかみ,かしら,こうべ
雲,くも
比べる,くらべる
暮れる,くれる
毛,け,もう
計画,けいかく
経験,けいけん
経済,けいざい
警察,けいさつ
景色,けしき,けいしょく
消しゴム,けしゴム,けしごむ,ケシゴム
下宿,げしゅく
決して,けっして,けして
原因,げんいん,げいいん
研究,けんきゅう
研究室,けんきゅうしつ
見物,けんぶつ,みもの
子,こ,ね,み,し,す,こう
郊外,こうがい
講義,こうぎ
工業,こうぎょう
高校,こうこう
高校生,こうこうせい
工場,こうじょう,こうば
校長,こうちょう
交通,こうつう
講堂,こうどう
高等学校,こうとうがっこう
公務員,こうむいん
国際,こくさい
心,こころ,しん
御主人,ごしゅじん
故障,こしょう
ご存じ,ごぞんじ
答,こたえ
小鳥,ことり
細かい,こまかい
込む,こむ
米,メートル,こめ,コメ,べい,よね
怖い,こわい
壊す,こわす
壊れる,こわれる
今度,こんど
今夜,こんや
最近,さいきん
最後,さいご
最初,さいしょ
坂,さか
探す,さがす
下る,さがる,サガる,くだる
盛ん,さかん
下げる,さげる
差し上げる,さしあげる
寂しい,さびしい,さみしい
さ来月,さらいげつ
さ来週,さらいしゅう
騒ぐ,さわぐ
触る,さわる
産業,さんぎょう
残念,ざんねん
市,いち,し
字,あざ,じ,あざな
試合,しあい
仕方,しかた
試験,しけん
事故,じこ,ことゆえ
地震,じしん,ない
時代,じだい
下着,したぎ
支度,したく
失敗,しっぱい
辞典,じてん,ことばてん
品物,しなもの
島,しま,シマ,とう
市民,しみん
事務所,じむしょ
社会,しゃかい
社長,しゃちょう
自由,じゆう
習慣,しゅうかん
住所,じゅうしょ
柔道,じゅうどう
十分,じっぷん,じゅっぷん,じゅうぶん
出席,しゅっせき
出発,しゅっぱつ
趣味,しゅみ
準備,じゅんび
紹介,しょうかい
小学校,しょうがっこう
小説,しょうせつ
招待,しょうたい,しょうだい
承知,しょうち
将来,しょうらい
食事,しょくじ
食料品,しょくりょうひん
女性,じょせい,にょしょう
知らせる,しらせる
調べる,しらべる
人口,じんこう
神社,じんじゃ,じんしゃ
親切,しんせつ
心配,しんぱい
新聞社,しんぶんしゃ
水泳,すいえい
水道,すいどう
数学,すうがく
過ぎる,すぎる,よぎる
凄い,すごい,スゴイ,スゴい
進む,すすむ,すさむ
捨てる,すてる
砂,すな,いさご
滑る,すべる,スベる,ぬめる
隅,すみ,すま
済む,すむ
生活,せいかつ
生産,せいさん,せいざん
政治,せいじ
西洋,せいよう
世界,せかい
席,せき,むしろ,えん,ムシロ
説明,せつめい
背中,せなか
世話,せわ
線,せん
戦争,せんそう
先輩,せんぱい
相談,そうだん
育てる,そだてる
卒業,そつぎょう
祖父,そふ,じじ,じい,おおじ,おじ,そぶ
祖母,そぼ,ばば,おおば,おば,うば
退院,たいいん
大学生,だいがくせい
大体,だいたい
大事,だいじ,おおごと
大分,だいぶ,だいぶん,おおいた
台風,たいふう
倒れる,たおれる
確か,たしか
足す,たす
訪ねる,たずねる
尋ねる,たずねる
正しい,ただしい
畳,じょう,たたみ,たとう
立てる,たてる
建てる,たてる
例えば,たとえば
棚,たな
楽しみ,たのしみ
楽む,たのしむ
為,ため,す
足りる,たりる
男性,だんせい
暖房,だんぼう
血,ち
力,ちから,りき,りょく
注意,ちゅうい
中学校,ちゅうがっこう
注射,ちゅうしゃ
駐車場,ちゅうしゃじょう
地理,ちり
捕まえる,つかまえる
付く,つく,づく
漬ける,つける
都合,つごう
伝える,つたえる
続く,つづく
続ける,つづける
包む,つつむ,くるむ
妻,つま,め,さい,そばめ
釣る,つる
連れる,つれる
丁寧,ていねい
適当,てきとう,テキトー
手伝う,てつだう
手袋,てぶくろ
寺,てら,じ
点,ちょぼ,チョボ,てん
店員,てんいん,ていいん
天気予報,てんきよほう
電灯,でんとう
電報,でんぽう
展覧会,てんらんかい
都,みやこ,と
道具,どうぐ
動物園,どうぶつえん
遠く,とおく
通る,とおる
特に,とくに
特別,とくべつ
途中,とちゅう
特急,とっきゅう
届ける,とどける
泊まる,とまる
止める,とめる,やめる,とどめる
取り替える,とりかえる
泥棒,どろぼう,ドロボー,どろぼー
直す,なおす
直る,なおる
治る,なおる
中々,なかなか
泣く,なく
無くなる,なくなる
亡くなる,なくなる
投げる,なげる
鳴る,なる
慣れる,なれる
苦い,にがい
二階建て,にかいだて
逃げる,にげる
日記,にっき
入院,にゅういん
入学,にゅうがく
似る,にる
人形,にんぎょう,ひとがた
盗む,ぬすむ
塗る,ぬる,まぶる
熱,ねつ,ねち
寝坊,ねぼう
眠い,ねむい
眠る,ねむる,ねぶる
残る,のこる
乗り換える,のりかえる
乗り物,のりもの
葉,は,よう
場合,ばあい,ばやい,ばわい,バヤイ,バワイ
倍,ばい
拝見,はいけん
歯医者,はいしゃ
運ぶ,はこぶ
始める,はじめる
場所,ばしょ
恥ずかしい,はずかしい
発音,はつおん
花見,はなみ
林,はやし
払う,はらう
番組,ばんぐみ
反対,はんたい
日,ひ,にち,か,んち,ち
火,ひ,か
冷える,ひえる
光,ひかり
光る,ひかる
引き出し,ひきだし
引き出す,ひきだす
飛行場,ひこうじょう
久しぶり,ひさしぶり
美術館,びじゅつかん
非常に,ひじょうに
引っ越す,ひっこす
必要,ひつよう
開く,ひらく,ヒラく,あく
昼間,ひるま,ちゅうかん
昼休み,ひるやすみ
拾う,ひろう
増える,ふえる
深い,ふかい
複雑,ふくざつ
復習,ふくしゅう
部長,ぶちょう
普通,ふつう,フツー
太る,ふとる
布団,ふとん
舟,ふね
不便,ふべん,ふびん
踏む,ふむ
